1Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-06-03,Mamma Mia! Here We Go Again,2018,https://boxd.it/J8GN1,2.5,Yes,,2019-06-02
2019-06-08,Allied,2016,https://boxd.it/JmF4R,3,,,2019-06-07
2019-06-15,Gone Girl,2014,https://boxd.it/JI9NJ,3.5,,,2019-06-14
2019-06-22,"Monsters, Inc.",2001,https://boxd.it/K2od7,5,,,2019-06-20
2019-06-22,The Edge of Democracy,2019,https://boxd.it/K2ogZ,4,,,2019-06-20
2019-07-01,Fallen,2016,https://boxd.it/KtXBx,1,,,2019-06-30
2019-07-01,Greta,2018,https://boxd.it/Kv2Nv,4,,,2019-06-30
2019-07-08,Toy Story 4,2019,https://boxd.it/KPG9P,3,,,2019-07-07
2019-07-09,Rocketman,2019,https://boxd.it/KTyEj,3,,,2019-07-08
2019-07-09,Grace of Monaco,2014,https://boxd.it/KUzs1,3.5,,,2019-07-08
2019-07-15,Suite Française,2014,https://boxd.it/LeHx9,3,,,2019-07-14
2019-07-18,Spider-Man: Far From Home,2019,https://boxd.it/LntR3,3.5,,,2019-07-18
2019-07-18,Captain Fantastic,2016,https://boxd.it/LnJN7,5,,,2019-07-18
2019-07-19,Into the Wild,2007,https://boxd.it/LqspX,4,,,2019-07-19
2019-07-19,We Need to Talk About Kevin,2011,https://boxd.it/Lqss3,4,Yes,,2019-07-19
2019-07-24,21 Jump Street,2012,https://boxd.it/LG5AF,4,,,2019-07-19
2019-07-27,Stepmom,1998,https://boxd.it/LQnuP,3.5,,,2019-07-27
2019-08-04,Get Out,2017,https://boxd.it/MeS1x,3,,,2019-08-03
2019-08-04,Blood Diamond,2006,https://boxd.it/MfvAB,4,Yes,,2019-08-03
2019-08-16,10 Things I Hate About You,1999,https://boxd.it/MUlYF,4,,,2019-08-15
2019-08-16,Suicide Squad,2016,https://boxd.it/MUm15,2.5,,,2019-08-15
2019-08-16,The Hustle,2019,https://boxd.it/MUm2d,3,,,2019-08-16
2019-08-25,Red Sparrow,2018,https://boxd.it/No4EN,3.5,,,2019-08-25
2019-09-04,Once Upon a Time… in Hollywood,2019,https://boxd.it/NUjJd,3.5,,,2019-08-31
2019-09-04,Simonal,2019,https://boxd.it/NUjMr,3,,,2019-08-31
2019-09-04,The Hunger Games: Catching Fire,2013,https://boxd.it/NUjRh,3.5,,,2019-09-02
2019-09-06,Bacurau,2019,https://boxd.it/O0NKx,,,,2019-09-05
2019-09-08,Two Weeks Notice,2002,https://boxd.it/O7Lrx,2.5,,,2019-09-07
2019-09-08,The Babadook,2014,https://boxd.it/O7LA5,3.5,,,2019-09-07
2019-09-15,It Chapter Two,2019,https://boxd.it/OsCrl,3,,,2019-09-13
2019-10-12,28 Days,2000,https://boxd.it/PW7FP,2.5,,,2019-10-07
2019-10-12,Joker,2019,https://boxd.it/PW7ht,4,,,2019-10-11
2019-11-11,Pokémon Detective Pikachu,2019,https://boxd.it/RJzBj,2.5,,,2019-10-29
2019-11-11,The Laundromat,2019,https://boxd.it/RLYyX,2.5,,,2019-11-10
2019-11-16,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,https://boxd.it/S1Z21,3,,,2019-11-15
