Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-29,The Trial,1962,https://boxd.it/2wOKjH,3.5,,"Consigo imaginar perfeitamente a sensação de ler o livro (espero conseguir ler Kafka <i>auf Deutsch</i>).
Anthony Perkins está a c-a-r-a de Andrew Garfield.",,2022-01-28
2022-02-01,Playing,2007,https://boxd.it/2xAoxN,4.5,,"Filme de gente, fantástico!
Há tempos quero assistir a esse filme e não encontro em lugar algum. Por acaso foi trazido para discussão na última aula da Arte da adaptação (do mis-sp), e um anjo mandou um link no chat. Bendito seja.",,2022-01-31
2022-02-02,GoodFellas,1990,https://boxd.it/2xLxdT,4.5,,O alho. My way. Adaptação literatura - cinema.,,2022-02-01
2022-02-06,Freaky Friday,2003,https://boxd.it/2ytwOR,3.5,Yes,"Me emociono horrores, amo. 
Dá de 10 a 0 em A filha perdida.",,2022-02-05
2022-02-12,The Hunger Games: Catching Fire,2013,https://boxd.it/2zrEcB,3.5,Yes,Meu sonho é ter uma Barbie collection da Effie com o vestido de borboletas,,2022-02-10
2022-02-14,The Seventh Seal,1957,https://boxd.it/2zSaY5,3.5,,"Esperava um tête-à-tête com a morte, assisti a uma história medieval",,2022-02-13
2022-02-15,Parallel Mothers,2021,https://boxd.it/2A7vM5,4,,"Penélope uma deusa.


Ps: primeiro filme de Almodóvar que vejo no cinema (Paseo) ❤️",,2022-02-14
2022-02-18,The Suicide Squad,2021,https://boxd.it/2AEh5x,2.5,,Lè spônion lè oppa leptospitento vs. estrela-do-espaço zoiudona,,2022-02-17
2022-02-20,I Am Legend,2007,https://boxd.it/2AV24X,3.5,,"Que prazeroso ver Will Smith dirigindo o que acredito ser um mustang vermelho por uma Manhattan apocalíptica.
Ode a Bob Marley. Shrek 💚
Ps: não por acaso “o melhor álbum do mundo” que ele escuta se chama Legend",,2022-02-18
2022-02-25,Ender's Game,2013,https://boxd.it/2BUpPJ,2,,"Meu deeeeus, é um filme peba atrás de um filme peba",,2022-02-24
2022-03-02,A History of Violence,2005,https://boxd.it/2CP11p,4,,Viggo 💙,,2022-03-01
2022-03-03,The Batman,2022,https://boxd.it/2CWKaZ,2.5,,"I’m vengeance
vrum vrum pow pow",,2022-03-02
2022-03-03,Game Night,2018,https://boxd.it/2CYGuv,3,,Podia ser eu a doida dos jogos. Fica aí a dica pra me controlar.,,2022-03-02
2022-03-05,The Greatest Showman,2017,https://boxd.it/2DfJRr,3,,"Uma superprodução animada, mas forçada.
Hugh Jackman 👏",,2022-03-04
2022-04-19,Executive Order,2020,https://boxd.it/2LFIYF,3,,Começou muito bem foi desandando.,,2022-04-18
2022-05-01,Yes Man,2008,https://boxd.it/2NKUgj,3.5,,"É pastelão, mas é bom.",,2022-04-30
2022-05-01,White Hot: The Rise & Fall of Abercrombie & Fitch,2022,https://boxd.it/2NKUo3,2.5,,"O final 🙄
Vale para alimentar a maria fifi dentro de cada um de nós.",,2022-04-30
2022-05-12,Laurel Canyon,2002,https://boxd.it/2PJ8BT,3.5,,"Pra mim, Frances vende o filme, mesmo com os outros dois com cara de pastel.",,2022-05-12
2022-05-18,A Time to Kill,1996,https://boxd.it/2QKT9N,3,,"Elenco maravilhoso (Sandrinha, Matthew McConaughey, Samuel - f*ck - Jackson), filme de corte/júri, mas alguma coisa se perde... muita violência e símbolos de ódio.",,2022-05-14
2022-05-19,Batman & Robin,1997,https://boxd.it/2QUYHZ,,,Masterpiece,,2022-05-18
2022-06-04,Boogie Nights,1997,https://boxd.it/2TGAbJ,4.5,,SUNNY ☀️,,2022-06-03
2022-06-05,The Master,2012,https://boxd.it/2TW6IF,3.5,,"Cinematograficamente muito bonito, Philip Seymour Hoffman está hipnótico, atrai a gente feito mosca. E que dupla com Joaquim Phoenix! Só não entrei muito na onda do filme.",,2022-06-04
2022-06-06,Murder by Numbers,2002,https://boxd.it/2U3aQ3,2.5,,"Where are the numbers???!
Ryan “pastel” face attacks again",,2022-06-05
2022-06-06,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/2U5Aj9,2.5,,"Decepcionante! 
Cadê os segredos??
Como que Maria Cândido só me tem 2 falas, e o chefão chinês, coitado, fala nada.",,2022-06-05
2022-06-07,Doppelgänger,2012,https://boxd.it/2UmRVN,3.5,,Me lembrou de O homem duplicado de Saramago e atiçou minha vontade já adormecida de ler o russo O duplo.,,2022-06-06
2022-06-07,Let's Eat,2020,https://boxd.it/2UmW87,2.5,,"A mesma história que todos já conhecemos (e que infelizmente passaremos por), mas não por isso menos tocante.",,2022-06-06
2022-06-07,Life Is Beautiful,2013,https://boxd.it/2Un2kj,,,Totally depressing,,2022-06-06
2022-06-15,Jurassic World Dominion,2022,https://boxd.it/2VLMID,3,,"Amei ver a velha guarda reunida, tudo pra mim!
Porém, nada a ver os gafanhotos e o início com cgi altamente duvidoso 😣",,2022-06-14
2022-06-16,The Pleasure of Love in Iran,1976,https://boxd.it/2VWHzX,4,,"Tão linda a arquitetura do Irã, apaixonada!",,2022-06-15
2022-06-16,Six Men Getting Sick,1967,https://boxd.it/2VWNH9,4,,Enlouquecedora a sirene 🚨,,2022-06-15
2022-06-17,The Devil Wears Prada,2006,https://boxd.it/2W5eez,4,Yes,Cada vez fica melhor ❤️,,2022-06-16
2022-06-18,Top Gun: Maverick,2022,https://boxd.it/2WgzXn,4,,Mandatório assistir na maior tela possível.,,2022-06-17
2022-06-20,Spiderhead,2022,https://boxd.it/2WGJYn,2,,"Coerência e coesão passaram longe.
Tinha muito potencial, era só ter mantido a linha dos 30 primeiros min.
Miles deve estar com dor nas costas até hoje de ter segurado o filme todinho, mas nem ele conseguiu fazer milagre.",,2022-06-19
2022-06-21,Chungking Express,1994,https://boxd.it/2WMlvj,3.5,,"Abacaxi enlatado com data de validade: 1 May 1994.
Lembrança da data do aniversário.
California dreaming.
Femme fatale de óclinhos branco.
California dreaming.
Substituição pouco a pouco dos objetos rotineiros.
California dreaming.
Objetos sentimentalistas (e chorões).",,2022-06-20
2022-06-24,The Piano Teacher,2001,https://boxd.it/2XtaGV,4.5,,"Os franceses são meio abulelelê das ideias.
Fortíssimo.",,2022-06-23
2022-06-26,Death on the Nile,2022,https://boxd.it/2XN7mN,2,,"Chaaaaato. (E pensar que pedi o livro de presente de natal e li correndo para assistir a essa adaptação h-o-r-r-o-s-a no cinema - que por sinal não consegui horário, acabei vendo na Star+).

Que abobrinha foi essa sobre o bigode de Piorot?
Tenho minhas dúvidas se aquilo no salão era realmente uma dança...
Ponto alto: cena Cleópatra, i.e. o filme tá muito mal das pernas.
Pra que 2h de tela, cadê o poder de síntese e concisão? O roteiro não ajuda, os atores não ajudam (inclusive a escalação envelheceu de vinho à vinagre de 2019 pra 2022).
Péssimo. Como leitora de Agatha Christie fico chateada, mais c-est la vie!",,2022-06-24
2022-06-26,Rise,2022,https://boxd.it/2XN9hP,4,,"Festival Varilux de Cinema francês 2022.

Dançar, dançar, dançar.
Movimentar o corpo.
Dualidade corpo - mente.
Não se deixar cair no medo da dor ser maior do que a própria dor.
Seres fazedores.
(re)construção, (re)invenção.
Novos caminhos, novos sonhos.",,2022-06-25
